iter	Logloss
0	0.6893621463
1	0.6838667483
2	0.6786894301
3	0.6743786931
4	0.6703950322
5	0.6652489488
6	0.662069607
7	0.6583337522
8	0.654836461
9	0.6508575034
10	0.6482346304
11	0.6447258199
12	0.6402259411
13	0.6361188304
14	0.6312058369
15	0.6279788509
16	0.6240170262
17	0.6201892381
18	0.6171027134
19	0.6127471615
20	0.6078334582
21	0.6048400681
22	0.6007599123
23	0.5966670743
24	0.5927250497
25	0.5888819827
26	0.5849723849
27	0.5806541896
28	0.5766572371
29	0.572641311
30	0.5695640433
31	0.5669123331
32	0.5631679642
33	0.5604788975
34	0.5558759784
35	0.5531430754
36	0.5497533339
37	0.5468077735
38	0.5428012857
39	0.5393112967
40	0.5357209343
41	0.5319381258
42	0.528730911
43	0.5248163669
44	0.5214984028
45	0.5186939883
46	0.5167996417
47	0.5133150455
48	0.5098609299
49	0.5074088152
50	0.504555288
51	0.5016176021
52	0.4981234293
53	0.4954532754
54	0.4928022155
55	0.4901971324
56	0.487151273
57	0.4841217561
58	0.4815923848
59	0.4783870662
60	0.4758052563
61	0.4737575007
62	0.4708441256
63	0.4682649002
64	0.4658911373
65	0.4627792939
66	0.4605184767
67	0.4586690081
68	0.4569212201
69	0.4551630433
70	0.4522860955
71	0.4494608005
72	0.447359832
73	0.4446420728
74	0.4417009493
75	0.4386264299
76	0.4360977626
77	0.4336976278
78	0.4300845452
79	0.4285281737
80	0.4263959456
81	0.4241896825
82	0.4220788456
83	0.419662686
84	0.4175436279
85	0.4151254633
86	0.4135598896
87	0.4113744121
88	0.4100963555
89	0.4082413121
90	0.4063333555
91	0.4039131201
92	0.4017883346
93	0.3992205306
94	0.3975578663
95	0.3960734137
96	0.3940887943
97	0.3921700029
98	0.3902648341
99	0.3889002972
100	0.3872255111
101	0.3853831872
102	0.3829100176
103	0.3807600425
104	0.3787823468
105	0.3766058821
106	0.37471478
107	0.3727491917
108	0.3705406832
109	0.3682485106
110	0.3674362506
111	0.3657502776
112	0.3636739262
113	0.3614784448
114	0.3599726181
115	0.3585390003
116	0.3574200836
117	0.3559734456
118	0.3537673505
119	0.3520542474
120	0.3508732728
121	0.3489294971
122	0.3473480266
123	0.345919682
124	0.3441074362
125	0.3421915032
126	0.3403138363
127	0.3384215515
128	0.336837558
129	0.3351322723
130	0.3336769457
131	0.3316884771
132	0.3297639124
133	0.3281481285
134	0.3268134375
135	0.3249980839
136	0.3235727578
137	0.321858515
138	0.3203867408
139	0.318918142
140	0.3173746697
141	0.3152506838
142	0.314233126
143	0.3127888125
144	0.3112767494
145	0.309386262
146	0.3082830022
147	0.3065669625
148	0.3055006875
149	0.3041411206
150	0.3024452818
151	0.3010525286
152	0.299706068
153	0.2979257996
154	0.2971383353
155	0.2957554917
156	0.2945821552
157	0.293119517
158	0.2914330928
159	0.2905585432
160	0.2890573146
161	0.287495965
162	0.2859893146
163	0.2849291847
164	0.2833509657
165	0.2818862454
166	0.2808171222
167	0.2797578652
168	0.2782938881
169	0.2774149433
170	0.2761041684
171	0.2750851619
172	0.2739481826
173	0.2724459061
174	0.2718876226
175	0.2707882204
176	0.26963134
177	0.2682216494
178	0.266841333
179	0.2655386973
180	0.2641504398
181	0.2630014837
182	0.2618608262
183	0.2607143246
184	0.2596617721
185	0.2585559732
186	0.2574316375
187	0.2568052589
188	0.2555639859
189	0.2547538938
190	0.2536571649
191	0.2523276359
192	0.2509010047
193	0.2498289759
194	0.248842134
195	0.2478280427
196	0.2466753463
197	0.2456325724
198	0.2443784948
199	0.2434898457
200	0.242058171
201	0.2408916556
202	0.2402939789
203	0.2392750128
204	0.2382608219
205	0.2371026091
206	0.2359258349
207	0.2351433773
208	0.2343409706
209	0.2336919787
210	0.2324156629
211	0.2315123754
212	0.2305963896
213	0.2295405657
214	0.2285381606
215	0.2276512679
216	0.2267067818
217	0.2257692582
218	0.2254156912
219	0.2247291782
220	0.223686594
221	0.2228743099
222	0.2220160696
223	0.2208135182
224	0.21979607
225	0.2189687322
226	0.2181010754
227	0.2174254155
228	0.2166214454
229	0.2156304914
230	0.2150244478
231	0.2139005398
232	0.2131740309
233	0.2122571667
234	0.2113522267
235	0.2104741012
236	0.2097490131
237	0.2087113918
238	0.2078680156
239	0.2072804345
240	0.2066776044
241	0.2057497218
242	0.2049233135
243	0.2041056912
244	0.2032287602
245	0.202703339
246	0.2018315117
247	0.2010078614
248	0.2003991105
249	0.199454034
250	0.1988251489
251	0.1979104635
252	0.197032053
253	0.1964279256
254	0.195702848
255	0.1952608149
256	0.1946138383
257	0.1936582615
258	0.1929441799
259	0.1921891655
260	0.1914367227
261	0.1906912795
262	0.1898641821
263	0.1890969185
264	0.1886380088
265	0.1879189346
266	0.1871621958
267	0.1865459308
268	0.1859837399
269	0.1853924123
270	0.1849674707
271	0.1841934107
272	0.1837029336
273	0.1830880396
274	0.1824609027
275	0.1818287495
276	0.1813918215
277	0.1808751532
278	0.1802660624
279	0.179594252
280	0.1790253672
281	0.1783531355
282	0.1779890142
283	0.177160721
284	0.1765826941
285	0.1760324099
286	0.1755668685
287	0.1748551968
288	0.1740399507
289	0.1732226358
290	0.1726604586
291	0.172234959
292	0.1714514794
293	0.1708249256
294	0.1703584222
295	0.1698076714
296	0.169261408
297	0.1686904493
298	0.1680668668
299	0.1674545849
300	0.1668582286
301	0.1664252257
302	0.1656456142
303	0.1651243213
304	0.1644352935
305	0.1636368758
306	0.1629281296
307	0.1623995027
308	0.1617407607
309	0.1612315648
310	0.1607439632
311	0.160045169
312	0.1595589709
313	0.1590955583
314	0.1585691177
315	0.1580263976
316	0.1574892365
317	0.1570052173
318	0.1565708747
319	0.1560265477
320	0.1554031473
321	0.1546958032
322	0.1543475066
323	0.1537056435
324	0.1531973029
325	0.1527533304
326	0.1521932029
327	0.1518664734
328	0.1513247679
329	0.1507167988
330	0.1501624793
331	0.1495008895
332	0.1490555925
333	0.1485615871
334	0.1481815303
335	0.1476418537
336	0.1473818774
337	0.1468456442
338	0.1463975008
339	0.1458856131
340	0.1454522066
341	0.1450320722
342	0.1446844491
343	0.1442602358
344	0.1438630022
345	0.1434350659
346	0.1431076002
347	0.1426474923
348	0.1426065576
349	0.1421746889
350	0.1417786241
351	0.141260362
352	0.1407381813
353	0.1401874938
354	0.1397626419
355	0.1393572884
356	0.1389237442
357	0.1385225969
358	0.1381194993
359	0.1377104017
360	0.1373443134
361	0.1370642066
362	0.1365102801
363	0.1360382691
364	0.1355598122
365	0.1349765155
366	0.1345605706
367	0.1340469344
368	0.1336921663
369	0.1333204985
370	0.1330204068
371	0.1326781015
372	0.13220875
373	0.1316568363
374	0.1313120294
375	0.1305736501
376	0.1300072039
377	0.1295703011
378	0.1291846786
379	0.1288821556
380	0.1285469324
381	0.1282321664
382	0.1277002658
383	0.1271732221
384	0.1269231652
385	0.1264619958
386	0.1260956527
387	0.1257565245
388	0.1252734576
389	0.1249536765
390	0.1245634311
391	0.124243624
392	0.1238678785
393	0.1234929992
394	0.1232283978
395	0.1227771076
396	0.1222488308
397	0.1219258315
398	0.1215544426
399	0.1212934946
400	0.1209698244
401	0.1206378857
402	0.1202587937
403	0.1198254919
404	0.1195180244
405	0.1191985154
406	0.1188775445
407	0.1185859305
408	0.1181703557
409	0.1177971782
410	0.1174579153
411	0.1171069282
412	0.1168068263
413	0.1165034083
414	0.1161551686
415	0.1157768187
416	0.1154495351
417	0.1152705198
418	0.1149731553
419	0.1146163452
420	0.1143002852
421	0.1140852296
422	0.1138670526
423	0.1136474379
424	0.1133588831
425	0.1130170873
426	0.1127033389
427	0.1124492755
428	0.1121546304
429	0.1118981764
430	0.11157902
431	0.1111348844
432	0.1108653553
433	0.1105821635
434	0.1103221656
435	0.1100636292
436	0.1097005618
437	0.1094092014
438	0.1091869292
439	0.1087861551
440	0.1085585265
441	0.1081982937
442	0.1078675003
443	0.1075832991
444	0.1072647001
445	0.106919147
446	0.1066008027
447	0.1062463338
448	0.1059156973
449	0.105659577
450	0.1053977278
451	0.1050558973
452	0.1046825037
453	0.1044218674
454	0.1041364266
455	0.1037920483
456	0.1034644467
457	0.1032518202
458	0.103111199
459	0.1028073699
460	0.1024981412
461	0.1021603262
462	0.1019897402
463	0.1018050972
464	0.101645643
465	0.1015426868
466	0.1013782635
467	0.1010502982
