iter	Passed	Remaining
0	4	4091
1	7	3507
2	9	3229
3	12	3055
4	14	2876
5	16	2732
6	18	2637
7	20	2548
8	22	2465
9	25	2521
10	27	2491
11	29	2468
12	32	2435
13	34	2417
14	36	2404
15	38	2374
16	41	2396
17	43	2376
18	45	2359
19	47	2344
20	49	2330
21	52	2320
22	54	2311
23	56	2303
24	59	2301
25	60	2259
26	62	2269
27	64	2251
28	67	2243
29	69	2245
30	71	2235
31	73	2218
32	75	2212
33	77	2203
34	79	2191
35	81	2182
36	83	2177
37	84	2148
38	87	2149
39	89	2145
40	91	2145
41	93	2137
42	96	2148
43	98	2144
44	100	2138
45	103	2140
46	105	2132
47	107	2130
48	110	2140
49	112	2135
50	114	2126
51	116	2123
52	118	2114
53	120	2109
54	122	2102
55	124	2098
56	126	2094
57	128	2091
58	130	2087
59	132	2082
60	134	2074
61	136	2072
62	138	2066
63	141	2065
64	143	2061
65	145	2057
66	147	2054
67	149	2053
68	152	2052
69	154	2048
70	156	2045
71	158	2041
72	160	2042
73	162	2036
74	164	2033
75	167	2032
76	169	2027
77	171	2023
78	173	2019
79	175	2017
80	177	2018
81	179	2014
82	181	2010
83	184	2009
84	186	2005
85	188	2004
86	190	2001
87	192	1999
88	194	1993
89	196	1990
90	198	1987
91	201	1984
92	203	1980
93	205	1978
94	207	1976
95	209	1975
96	211	1972
97	214	1970
98	216	1971
99	218	1968
100	220	1963
101	222	1961
102	224	1958
103	227	1956
104	229	1953
105	231	1951
106	233	1949
107	235	1944
108	237	1942
109	239	1939
110	241	1937
111	244	1935
112	246	1932
113	248	1930
114	250	1926
115	252	1923
116	254	1920
117	256	1917
118	258	1917
119	260	1913
120	263	1911
121	264	1904
122	266	1903
123	268	1899
124	270	1896
125	273	1894
126	275	1891
127	277	1887
128	279	1885
129	281	1882
130	283	1881
131	285	1879
132	287	1876
133	290	1878
134	292	1874
135	294	1870
136	296	1866
137	298	1865
138	300	1861
139	302	1859
140	304	1857
141	307	1857
142	309	1855
143	311	1854
144	313	1850
145	315	1847
146	317	1842
147	319	1840
148	321	1837
149	323	1835
150	326	1834
151	328	1832
152	330	1829
153	332	1827
154	334	1823
155	336	1821
156	338	1818
157	340	1816
158	343	1814
159	345	1813
160	347	1810
161	349	1808
162	351	1805
163	353	1803
164	355	1801
165	357	1797
166	359	1793
167	361	1792
168	364	1790
169	365	1786
