SMILES,zincID,zincprotonationID
C1CC(C1)(C(=O)[O-])NC(=O)c2[n-]nnn2,C88048610,P137708995
c1ccc2c(c1)C[C@H](N(C2)CC(=O)[O-])C(=O)[O-],C34274052,P117407052
c1cn(c(nc1=O)[O-])C[C@H](C(=O)[O-])N,C03108048,P56491311
C1CO[C@@H](CN1[C@@H]2CC(=NC2=O)[O-])CC(=O)[O-],C91296609,P142812451
c1cc(c(nc1)S(=O)(=O)[O-])C(=O)[O-],C06471224,P10149094
C=CCCCCCCCCCCCCBr,C83428650,P130484345
C[C@@H]1CC[C@@H](C[C@@H]1C)OCCCCCCCCCBr,C97798237,P155217945
c1ccc2cc(ccc2c1)OCCCCCCCCCS,C97799674,P155219583
C[C@H](CCOP(=O)([O-])OCC[C@H](C)CC(C)(C)C)CC(C)(C)C,C17315708,P141980464
C=CCCCCC[C@]12CCCC[C@](S1(=O)=O)(CC2)CCCCC=C,C43199201,P65264989
c1cc(c(cc1NC(=O)c2cn[n-]n2)F)[O-],C87601709,P137040721
Cc1ccc2c(c1)c(=O)c(c([nH]2)[O-])C(=O)[O-],C19204299,P28352202
c1cc(nc2c1nc(nc2[O-])N)C(=O)[O-],C17108994,P53416220
C[C@@H]1C(=C(N2C(=N1)N=C[N-]2)[O-])SC#N,C00402546,P57712606
c1cc(ncc1C(=O)[O-])NCC2CC(C2)[O-],C84449703,P132150211
C[C@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1CCC[C@@H]1C(=O)[O-])NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CO)NC(=O)[C@@H](CC(=O)O)NC(=O)CNC(=O)[C@@H](CCCNC(=[NH2+])N)[NH3+],C98229811,P156228085
C[C@@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1CCC[C@@H]1C(=O)[O-])NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CO)NC(=O)[C@@H](CC(=O)O)NC(=O)CNC(=O)[C@@H](CCCNC(=[NH2+])N)[NH3+],C98229810,P156228084
c1cc(cc(c1)NC(=O)[C@@H]2CC(=O)N=C3N2C=[NH+][N-]3)C(=O)[O-],C49551744,P95058770
